Directors,Number of Movies
Steven Spielberg,7
Stanley Kubrick,7
Martin Scorsese,7
Christopher Nolan,7
Akira Kurosawa,7
Alfred Hitchcock,6
Quentin Tarantino,5
Charles Chaplin,5
Billy Wilder,5
Sergio Leone,4
